OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1059,2:138:42,1059,139,13900,-4.496949024701028
1060,2:138:26,1060,93,9300,-7.052477801326622
1061,2:138:44,1061,197,19700,-0.900918624374654
1062,2:138:10,1062,35,3500,-9.33789204970028
1063,2:138:27,1063,77,7700,-2.710428720904016
1064,2:138:6,1064,13,1300,-7.909369425722519
1065,2:138:8,1065,59,5900,-6.011030954626132
1066,2:138:33,1066,165,16500,-7.522679075028497
1067,2:138:34,1067,50,5000,-6.940260485951498
1068,2:138:35,1068,110,11000,-4.218622235315419
1069,2:138:36,1069,89,8900,-6.637412600305683
1070,2:138:30,1070,174,17400,-10.652515625056168
1071,2:138:40,1071,41,4100,-4.964752138892258
1072,2:138:41,1072,146,14600,-8.774969864937553
1073,2:138:37,1073,101,10100,-6.371459418620828
1074,2:138:28,1074,144,14400,-0.40154227549998
1075,2:138:43,1075,34,3400,-1.737517412205747
1076,2:138:39,1076,167,16700,-3.927379607924882
1077,2:186:12,1077,830,83000,-4.039556114576419
